id,submitted,updated,title,abstract,authors,link_abstract,link_pdf,link_doi,comment,journal,category,males,females
2003.07096v1,2020-03-16,2020-03-16,"Towards a Collaborative Approach to Decision Making Based on Ontology
  and Multi-Agent System Application to crisis management","  The coordination and cooperation of all the stakeholders involved is a
decisive point for the control and the resolution of problems. In the
insecurity events, the resolution should refer to a plan that defines a general
framework of the procedures to be undertaken and the instructions to be
complied with; also, a more precise process must be defined by the actors to
deal with the case represented by the particular problem of the current
situation. Indeed, this process has to cope with a dynamic, unstable and
unpredictable environment, due to the heterogeneity and multiplicity of
stakeholders, and finally due to their possible geographical distribution. In
this article, we will present the first steps of validation of a collaborative
decision-making approach in the context of crisis situations such as road
accidents. This approach is based on ontologies and multi-agent systems.
",Ahmed Maalel|Henda Ben Ghézala,http://arxiv.org/abs/2003.07096v1,http://arxiv.org/pdf/2003.07096v1,http://dx.doi.org/10.1016/j.procs.2019.12.172,"6 pages, 4 figures","Maalel A. et al. (2019) Procedia Computer Science 164 193,198",computer science,1,0
2003.07102v1,2020-03-16,2020-03-16,Ideal circle microswimmers in crowded media,"  Microswimmers are exposed in nature to crowded environments and their
transport properties depend in a subtle way on the interaction with obstacles.
Here, we investigate a model for a single ideal circle swimmer exploring a
two-dimensional disordered array of impenetrable obstacles. The microswimmer
moves on circular orbits in the freely accessible space and follows the surface
of an obstacle for a certain time upon collision. Depending on the obstacle
density and the radius of the circular orbits, the microswimmer displays either
long-range transport or is localized in a finite region. We show that there are
transitions from two localized states to a diffusive state each driven by an
underlying static percolation transition. We determine the non-equilibrium
state diagram and calculate the mean-square displacements and diffusivities by
computer simulations. Close to the transition lines transport becomes
subdiffusive which is rationalized as a dynamic critical phenomenon.
",Oleksandr Chepizhko|Thomas Franosch,http://arxiv.org/abs/2003.07102v1,http://arxiv.org/pdf/2003.07102v1,http://dx.doi.org/10.1039/C8SM02030B,"10 pages, 7 figures","Soft Matter, 2019,15, 452-461",physics,2,0
2003.07199v1,2020-03-16,2020-03-16,"Optical Identification of Four Hard X-ray Sources from the INTEGRAL Sky
  Surveys","  We continue the study begun in Karasev et al. (2018) and present the results
of our optical identifications of four hard X-ray sources from the INTEGRAL sky
surveys. Having first improved the positions of these objects in the sky with
the X-ray telescope (XRT) of the Swift observatory, we have identified their
counterparts using optical and infrared sky survey data. Then, we have obtained
optical spectra for the supposed counterparts with the RTT-150 Russian-Turkish
telescope and the AZT-33IK telescope. This has allowed the nature of the
objects under study to be established. The sources IGR J11079+7106 and IGR
J12171+7047 have turned out to be extragalactic in nature and be Seyfert 1 and
2 galaxies, respectively, with the second object being characterized by a large
absorption column density. The source IGR J18165-3912 is most likely an
intermediate polar with a very high luminosity. The fourth source, IGR
J20596+4303, is a chance superposition of two objects - a Seyfert 2 galaxy and
a cataclysmic variable.
",D. I. Karasev|S. Yu. Sazonov|A. Yu. Tkachenko|G. A. Khorunzhev|R. A. Krivonos|P. S. Medvedev|I. A. Zaznobin|I. A. Mereminskiy|R. A. Burenin|M. N. Pavlinsky|M. V. Eselevich,http://arxiv.org/abs/2003.07199v1,http://arxiv.org/pdf/2003.07199v1,http://dx.doi.org/10.1134/S1063773719120028,"11 pages, 6 figures. arXiv admin note: text overlap with
  arXiv:1809.02949","Astronomy Letters, 2019, Vol. 45, No. 12, pp. 836-846",physics,0,0
2003.08296v1,2020-03-16,2020-03-16,"Suspended graphene membranes with attached silicon proof masses as
  piezoresistive NEMS accelerometers","  Graphene is an atomically thin material that features unique electrical and
mechanical properties, which makes it an extremely promising material for
future nanoelectromechanical systems (NEMS). Recently, basic NEMS accelerometer
functionality has been demonstrated by utilizing piezoresistive graphene
ribbons with suspended silicon proof masses. However, the proposed graphene
ribbons have limitations regarding mechanical robustness, manufacturing yield
and the maximum measurement current that can be applied across the ribbons.
Here, we report on suspended graphene membranes that are fully-clamped at their
circumference and that have attached silicon proof masses. We demonstrate their
utility as piezoresistive NEMS accelerometers and they are found to be more
robust, have longer life span and higher manufacturing yield, can withstand
higher measurement currents and are able to suspend larger silicon proof
masses, as compared to the previously graphene ribbon devices. These findings
are an important step towards bringing ultra-miniaturized piezoresistive
graphene NEMS closer towards deployment in emerging applications such as in
wearable electronics, biomedical implants and internet of things (IoT) devices.
",Xuge Fan|Fredrik Forsberg|Anderson D. Smith|Stephan Schröder|Stefan Wagner|Mikael Östling|Max C. Lemme|Frank Niklaus,http://arxiv.org/abs/2003.08296v1,http://arxiv.org/pdf/2003.08296v1,http://dx.doi.org/10.1021/acs.nanolett.9b01759,"40 pages, 5 figures. arXiv admin note: text overlap with
  arXiv:2003.07115",Nano Lett.19 10 (2019) 6788-6799,physics,7,0
2003.07281v1,2020-03-16,2020-03-16,"On the Quantization of Burgers Vector and Gravitational Energy in the
  Space-Time of a Conical Defect","  A conical topological defect is the result of translational and/or rotational
deformations of spacetime, in particular the Burgers vector describes the
translational deformation. Such a configuration represents a discontinuity,
that cannot be removed by coordinate transformations, and is related to the
spacetime torsion. Using the Teleparallel Equivalent of General Relativity
(TERG), a gravitational theory that is dynamically equivalent to General
Relativity (GR), we investigate the consequences of assuming a discrete Burgers
vector on the geodesic motion of particles around a static conical defect. The
result is a helical geodesic motion of a test particle around the defect, with
a discrete step that depends on the magnitude of the dislocation.
",F. L. Carneiro|S. C. Ulhoa|J. F. da Rocha-Neto|J. W. Maluf,http://arxiv.org/abs/2003.07281v1,http://arxiv.org/pdf/2003.07281v1,http://dx.doi.org/10.1140/epjc/s10052-020-7772-6,"18 pages, 6 figures","Eur. Phys. J. C 80, 226 (2020)",physics,0,0
2003.07296v1,2020-03-16,2020-03-16,"Faraday effect and fragmentation of ferromagnetic layers in multilayer
  Co/Cu(111) nanofilms","  With purpose to investigate influence of magnetically non-active metal layers
on the Faraday effect in multilayer Ferromagnetic/Normal metal films,
dependences of the Faraday rotation angles of the light polarization plane on
magnetic field have been studied in multilayer [Co/Cu] nanofilms. It was
revealed that the Faraday rotation varies with thickness of the Cu layers. This
dependence of the Faraday rotation on the Cu layer thickness consists of the
monotonic component, namely a gradual rise of the angle with increase of the Cu
layer thickness, and the non-monotonic one represented by two minima. The
monotonic changes of the Faraday rotation were satisfactory described in frames
of the effective medium method. Two minima are explained with the Co layers
fragmentation due to influence of size electron quantization in the Cu layers
on formation of Co clusters during deposition of the films.
",Irene N. Lukienko|Mykola F. Kharchenko|Alexey V. Fedorchenko|Ivan A. Kharlan|Olga P. Tutakina|Olexandr N. Stetsenko|Cristina S. Neves|Andrei N. Salak,http://arxiv.org/abs/2003.07296v1,http://arxiv.org/pdf/2003.07296v1,http://dx.doi.org/10.1016/j.jmmm.2020.166706,"10 pages, 9 figures",J. Magn. Magn. Mat. 505 (2020) 166706,maths,4,3
2003.07303v1,2020-03-16,2020-03-16,Topological Hall signatures of magnetic hopfions,"  Magnetic hopfions are topologically protected three-dimensional solitons that
are constituted by a tube which exhibits a topologically nontrivial spin
texture in the cross-section profile and is closed to a torus. Here we show
that the hopfion's locally uncompensated emergent field leads to a topological
Hall signature, although the topological Hall effect vanishes on the global
level. The topological Hall signature is switchable by magnetic fields or
electric currents and occurs independently of the anomalous and conventional
Hall effects. It can therefore be exploited to electrically detect hopfions in
experiments and even to distinguish them from other textures like skyrmion
tubes. Furthermore, it can potentially be utilized in spintronic devices.
Exemplarily, we propose a hopfion-based racetrack data storage device and
simulate the electrical detection of the hopfions as carriers of information.
",Börge Göbel|Collins Ashu Akosa|Gen Tatara|Ingrid Mertig,http://arxiv.org/abs/2003.07303v1,http://arxiv.org/pdf/2003.07303v1,http://dx.doi.org/10.1103/PhysRevResearch.2.013315,"6 pages, 4 figures","Physical Review Research 2, 013315 (2020)",maths,2,1
2003.07423v1,2020-03-16,2020-03-16,"Exploring molecular complexity with ALMA (EMoCA): Complex isocyanides in
  Sgr B2(N)","  We used the EMoCA survey data to search for isocyanides in Sgr B2(N2) and
their corresponding cyanide analogs. We then used the coupled three-phase
chemical kinetics code MAGICKAL to simulate their chemistry. Several new
species, and over 100 new reactions have been added to the network. In
addition, a new single-stage simultaneous collapse/warm-up model has been
implemented, thus eliminating the need for the previous two-stage models. A
variable, visual extinction-dependent $\zeta$ was also incorporated into the
model and tested. We report the tentative detection of CH$_3$NC and HCCNC in
Sgr B2(N2), which represents the first detection of both species in a hot core
of Sgr B2. Our updated chemical models can reproduce most observed NC:CN ratios
reasonably well depending on the physical parameters chosen. The model that
performs best has an extinction-dependent cosmic-ray ionization rate that
varies from ~2 $\times$ 10$^{-15}$ s$^{-1}$ at the edge of the cloud to ~1
$\times$ 10$^{-16}$ s$^{-1}$ in the center. Models with higher
extinction-dependent $\zeta$ than this model generally do not agree as well,
nor do models with a constant $\zeta$ greater than the canonical value of 1.3
$\times$ 10$^{-17}$ s$^{-1}$ throughout the source. Radiative transfer models
are run using results of the best-fit chemical model. Column densities produced
by the radiative transfer models are significantly lower than those determined
observationally. Inaccuracy in the observationally determined density and
temperature profiles is a possible explanation. Excitation temperatures are
well reproduced for the true ``hot core'' molecules, but are more variable for
other molecules such as HC$_3$N, for which fewer lines exist in ALMA Band 3.
",E. R. Willis|R. T. Garrod|A. Belloche|H. S. P. Müller|C. J. Barger|M. Bonfand|K. M. Menten,http://arxiv.org/abs/2003.07423v1,http://arxiv.org/pdf/2003.07423v1,http://dx.doi.org/10.1051/0004-6361/201936489,"29 pages, 24 figures, accepted for publication in Astronomy &
  Astrophysics","A&A 636, A29 (2020)",physics,0,0
2003.07436v1,2020-03-16,2020-03-16,Landauer Principle and General Relativity,"  We endeavour to illustrate the physical relevance of the Landauer principle
applying it to different important issues concerning the theory of gravitation.
We shall first analyze, in the context of general relativity, the consequences
derived from the fact, implied by Landauer principle, that information has
mass. Next, we shall analyze the role played by the Landauer principle in order
to understand why different congruences of observers provide very different
physical descriptions of the same space--time. Finally, we shall apply the
Landauer principle to the problem of gravitational radiation. We shall see that
the fact that gravitational radiation is an irreversible process entailing
dissipation, is a straightforward consequence of the Landauer principle and of
the fact that gravitational radiation conveys information. An expression
measuring the part of radiated energy that corresponds to the radiated
information and an expression defining the total number of bits erased in that
process, shall be obtained, as well as an explicit expression linking the
latter to the Bondi news function.
",L. Herrera,http://arxiv.org/abs/2003.07436v1,http://arxiv.org/pdf/2003.07436v1,http://dx.doi.org/10.3390/e22030340,"Published in the special issue of Entropy: The Landauer Principle:
  Meaning, Physical Roots and Applications","Entropy, 22, 340, (2020)",physics,0,0
2003.07446v2,2020-03-16,2020-03-16,"The Low Earth Orbit Satellite Population and Impacts of the SpaceX
  Starlink Constellation","  I discuss the current low Earth orbit artificial satellite population and
show that the proposed `megaconstellation' of circa 12,000 Starlink internet
satellites would dominate the lower part of Earth orbit, below 600 km, with a
latitude-dependent areal number density of between 0.005 and 0.01 objects per
square degree at airmass < 2. Such large, low altitude satellites appear
visually bright to ground observers, and the initial Starlinks are naked eye
objects. I model the expected number of illuminated satellites as a function of
latitude, time of year, and time of night and summarize the range of possible
consequences for ground-based astronomy. In winter at lower latitudes typical
of major observatories, the satellites will not be illuminated for six hours in
the middle of the night. However, at low elevations near twilight at
intermediate latitudes (45-55 deg, e.g. much of Europe) hundreds of satellites
may be visible at once to naked-eye observers at dark sites.
",Jonathan C. McDowell,http://arxiv.org/abs/2003.07446v2,http://arxiv.org/pdf/2003.07446v2,http://dx.doi.org/10.3847/2041-8213/ab8016,"20 pages, 14 figures. Published in Ap J Letters","ApJ 892 (2020), L36",physics,1,0
2003.07447v1,2020-03-16,2020-03-16,"Cryogenic-specific reddish coloration by cryoplasma: New explanation to
  color diversity of outer solar system objects","  Reddish coloration and color diversity among icy bodies in the outer solar
system are one of the significant clues for understanding the status and
history of the solar system. However, the origin of color distribution remains
debatable. Here, we demonstrate reddish coloration that is stable only at
cryogenic temperatures in a laboratory experiment. The reddish coloration was
produced on methanol- and water-containing ice irradiated with
nitrogen-containing cryoplasma at 85 K. The reddish color visually faded and
disappeared at 120-150 K as the ice was heated, unlike well-known refractory
organic tholins that are stable even when heated to room temperature. This
temperature dependence of reddish coloration under cryogenic conditions could
provide a new possible explanation for the absence of ultra-red coloration
closer to the Sun in the outer solar system. Our result implies that a reddish
material specific to cryogenic environments is useful for the investigation of
color diversity and formation mechanism of the outer solar system.
",Noritaka Sakakibara|Yu Yu Phua|Tsuyohito Ito|Kazuo Terashima,http://arxiv.org/abs/2003.07447v1,http://arxiv.org/pdf/2003.07447v1,http://dx.doi.org/10.3847/2041-8213/ab75c5,"31 pages, 13 figures, published in ApJL on March 16, 2020",ApJL 891 (2020) L44,physics,1,1
2003.08290v1,2020-03-16,2020-03-16,"Influence of CAV Clustering Strategies on Mixed Traffic Flow
  Characteristics: An Analysis of Vehicle Trajectory Data","  Being one of the most promising applications enabled by connected and
automated vehicles (CAV) technology, Cooperative Adaptive Cruise Control (CACC)
is expected to be deployed in the near term on public roads.} Thus far, the
majority of the CACC studies have been focusing on the overall network
performance with limited insights on the potential impacts of CAVs on
human-driven vehicles (HVs).This paper aims to quantify such impacts by
studying the high-resolution vehicle trajectory data that are obtained from
microscopic simulation. Two platoon clustering strategies for CACC- an ad hoc
coordination strategy and a local coordination strategy-are implemented.
Results show that the local coordination outperforms the ad hoc coordination
across all tested market penetration rates (MPRs) in terms of network
throughput and productivity. According to the two-sample
Kolmogorov-\textcolor{re}{Smirnov} test, however, the distributions of the hard
braking events (as a potential safety impact) for HVs change significantly
under local coordination strategy. For both of the clustering strategy, CAVs
increase the average lane change frequency for HVs. The break-even point for
average lane change frequency between the two strategies is observed at 30%
MPR, which decreases from 5.42 to 5.38 per vehicle. The average lane change
frequency following a monotonically increasing pattern in response to MPR, and
it reaches the highest 5.48 per vehicle at 40% MPR. Lastly, the interaction
state of the car-following model for HVs is analyzed. It is revealed that the
composition of the interaction state could be influenced by CAVs as well. One
of the apparent trends is that the time spent on approaching state declines
with the increasing presence of CAVs.
",Zijia Zhong|Earl E. Lee|Mark Nejad|Joyoung Lee,http://arxiv.org/abs/2003.08290v1,http://arxiv.org/pdf/2003.08290v1,http://dx.doi.org/10.1016/j.trc.2020.102611,"22 pages, 17 figures. arXiv admin note: substantial text overlap with
  arXiv:1909.13204","Transportation Research Part C: Emerging Technologies, 115, 2020,
  102611",computer science,2,0
2003.07468v1,2020-03-16,2020-03-16,"Implications of the Quantum Noise Target for the Einstein Telescope
  Infrastructure Design","  The design of a complex instrument such as Einstein Telescope (ET) is based
on a target sensitivity derived from an elaborate case for scientific
exploration. At the same time it incorporates many trade-off decisions to
maximise the scientific value by balancing the performance of the various
subsystems against the cost of the installation and operation. In this paper we
discuss the impact of a long signal recycling cavity (SRC) on the quantum noise
performance. We show the reduction in sensitivity due to a long SRC for an ET
high-frequency interferometer, provide details on possible compensations
schemes and suggest a reduction of the SRC length. We also recall details of
the trade-off between the length and optical losses for filter cavities, and
show the strict requirements for an ET low-frequency interferometer. Finally,
we present an alternative filter cavity design for an ET low-frequency
interferometer making use of a coupled cavity, and discuss the advantages of
the design in this context.
",Philip Jones|Teng Zhang|Haixing Miao|Andreas Freise,http://arxiv.org/abs/2003.07468v1,http://arxiv.org/pdf/2003.07468v1,http://dx.doi.org/10.1103/PhysRevD.101.082002,"8 pages, 12 figures, 3 tables. Submitted to Physical Review D on
  2020-03-16","Phys. Rev. D 101, 082002 (2020)",physics,3,0
2003.07471v1,2020-03-16,2020-03-16,"The CARMENES search for exoplanets around M dwarfs. Radial velocities
  and activity indicators from cross-correlation functions with weighted binary
  masks","  For years, the standard procedure to measure radial velocities (RVs) of
spectral observations consisted in cross-correlating the spectra with a binary
mask, that is, a simple stellar template that contains information on the
position and strength of stellar absorption lines. The cross-correlation
function (CCF) profiles also provide several indicators of stellar activity. We
present a methodology to first build weighted binary masks and, second, to
compute the CCF of spectral observations with these masks from which we derive
radial velocities and activity indicators. These methods are implemented in a
python code that is publicly available. To build the masks, we selected a large
number of sharp absorption lines based on the profile of the minima present in
high signal-to-noise ratio (S/N) spectrum templates built from observations of
reference stars. We computed the CCFs of observed spectra and derived RVs and
the following three standard activity indicators: full-width-at-half-maximum as
well as contrast and bisector inverse slope.We applied our methodology to
CARMENES high-resolution spectra and obtain RV and activity indicator time
series of more than 300 M dwarf stars observed for the main CARMENES survey.
Compared with the standard CARMENES template matching pipeline, in general we
obtain more precise RVs in the cases where the template used in the standard
pipeline did not have enough S/N. We also show the behaviour of the three
activity indicators for the active star YZ CMi and estimate the absolute RV of
the M dwarfs analysed using the CCF RVs.
",M. Lafarga|I. Ribas|C. Lovis|M. Perger|M. Zechmeister|F. F. Bauer|M. Kürster|M. Cortés-Contreras|J. C. Morales|E. Herrero|A. Rosich|D. Baroch|A. Reiners|J. A. Caballer|A. Quirrenbach|P. J. Amado|J. M. Alacid|V. J. S. Béjar|S. Dreizler|A. P. Hatzes|T. Henning|S. V. Jeffers|A. Kaminski|D. Montes|S. Pedraz|C. Rodríguez-López|J. H. M. M. Schmitt,http://arxiv.org/abs/2003.07471v1,http://arxiv.org/pdf/2003.07471v1,http://dx.doi.org/10.1051/0004-6361/201937222,"24 pages, 14 figures. Accepted for publication in A&A. Code available
  at https://github.com/mlafarga/raccoon","A&A 636, A36 (2020)",physics,0,0
